,Training,Validation
0,79.1015625,72.94832826747721
1,81.15234375,72.94832826747721
2,81.34765625,72.49240121580547
3,81.54296875,72.64437689969606
4,81.8359375,73.25227963525836
5,82.03125,73.55623100303951
6,82.6171875,73.40425531914893
7,81.8359375,74.01215805471124
8,82.51953125,74.3161094224924
9,83.0078125,74.16413373860182
10,83.203125,75.37993920972644
11,83.0078125,74.92401215805471
12,83.3984375,74.92401215805471
13,83.203125,75.6838905775076
14,83.59375,75.83586626139818
15,84.27734375,75.98784194528876
16,84.66796875,75.53191489361703
17,83.984375,74.92401215805471
18,83.49609375,75.6838905775076
19,83.88671875,75.6838905775076
20,83.69140625,76.13981762917933
21,83.7890625,75.98784194528876
22,83.59375,76.44376899696049
23,83.49609375,75.98784194528876
24,84.5703125,76.29179331306992
25,84.47265625,75.83586626139818
26,84.47265625,75.98784194528876
27,84.08203125,76.44376899696049
28,85.15625,76.13981762917933
29,84.47265625,76.89969604863222
30,84.5703125,76.74772036474164
31,84.86328125,76.74772036474164
32,85.7421875,77.20364741641338
33,85.25390625,77.50759878419453
34,86.328125,78.11550151975683
35,86.1328125,77.96352583586626
36,86.81640625,78.87537993920972
37,87.01171875,78.87537993920972
38,89.16015625,78.87537993920972
39,87.3046875,79.93920972644378
40,86.71875,80.85106382978722
41,88.57421875,80.54711246200608
42,88.28125,82.06686930091185
43,88.76953125,80.85106382978722
44,88.76953125,82.06686930091185
45,90.13671875,82.06686930091185
46,90.625,81.30699088145896
47,89.16015625,82.82674772036475
48,90.4296875,83.73860182370821
49,90.91796875,83.73860182370821
