Epochs,Training Loss,Validation Loss
0,0.0,0.0
1,0.4016769291235425,2.749656121045392
2,0.04912878291628455,0.09353507565337002
3,0.02076509891261627,0.062356717102246675
4,0.011987423031573432,0.12471343420449335
5,0.011332372592689637,0.2810637322329207
6,0.007074544739944975,3.499770747363595
7,0.008319140573824185,0.062356717102246675
8,0.00661600943272632,2.3745988078862905
9,0.007598585091052011,5.499770747363595
10,0.0054369186427354905,0.062356717102246675
11,0.0035372723699724877,0.09353507565337002
12,0.003078737062753832,0.34342044933516735
13,0.003995807677191144,1.6249426868408987
14,0.003733787501637626,2.1558917927556167
15,0.0031442421066422113,0.218707015130674
16,0.002620201755535176,2.4062356717102245
17,0.0036682824577492466,2.6249426868408987
18,0.003406262282195729,0.15589179275561668
19,0.00216166644831652,0.0
20,0.002620201755535176,0.15589179275561668
21,0.0023581815799816586,0.0
22,0.002292676536093279,0.062356717102246675
23,0.0012445958338792088,1.9060064190738193
24,0.004519848028298179,1.3434204493351674
25,0.0035372723699724877,0.3745988078862907
26,0.0020306563605397617,0.15589179275561668
27,0.0017031311410978646,0.031178358551123338
28,0.0007205554827721735,0.0
29,0.0018996462727630028,0.031178358551123338
30,0.002423686623870038,0.656121045392022
31,0.0018341412288746233,0.0
32,0.002096161404428141,4.624942686840899
33,0.0017686361849862439,0.874828060522696
34,0.0017031311410978646,0.437414030261348
35,0.0015066160094327264,0.437414030261348
36,0.0035372723699724877,0.3745988078862907
37,0.0017686361849862439,1.0623567171022468
38,0.0013756059216559675,1.7808344795965154
39,0.002554696711646797,0.34342044933516735
40,0.001310100877767588,0.437414030261348
41,0.0017031311410978646,1.7184777624942686
42,0.0026857067994235555,1.656121045392022
43,0.0020306563605397617,0.09353507565337002
44,0.0007860605266605528,0.34342044933516735
45,0.0009825756583256911,1.3434204493351674
46,0.0018996462727630028,0.0
47,0.0011790907899908293,0.15589179275561668
48,0.0007860605266605528,1.530949105914718
49,0.004126817764967903,3.218707015130674
50,0.006419494301061182,0.15589179275561668
