,Training,Validation
0,81.15234375,72.94832826747721
1,81.15234375,72.79635258358662
2,82.32421875,75.83586626139818
3,87.59765625,80.85106382978722
4,87.3046875,83.1306990881459
5,90.8203125,86.17021276595744
6,91.89453125,86.17021276595744
7,94.140625,87.99392097264437
8,94.3359375,89.96960486322189
9,95.3125,90.72948328267478
10,95.21484375,90.72948328267478
11,95.703125,91.64133738601824
12,95.8984375,92.40121580547113
13,96.09375,92.85714285714286
14,95.703125,91.94528875379939
15,96.19140625,91.64133738601824
16,95.5078125,92.40121580547113
17,96.6796875,92.70516717325228
18,96.19140625,93.00911854103343
19,96.38671875,93.46504559270517
20,97.4609375,93.3130699088146
21,97.8515625,92.85714285714286
22,97.0703125,92.40121580547113
23,97.0703125,93.3130699088146
24,97.8515625,93.3130699088146
25,96.38671875,92.70516717325228
26,97.36328125,92.5531914893617
27,96.6796875,93.46504559270517
28,97.75390625,93.76899696048632
29,96.09375,93.3130699088146
30,97.16796875,92.85714285714286
31,97.55859375,93.16109422492401
32,97.65625,93.76899696048632
33,96.97265625,92.5531914893617
34,97.0703125,93.3130699088146
35,97.55859375,92.40121580547113
36,96.97265625,93.3130699088146
37,97.36328125,93.76899696048632
38,97.4609375,93.61702127659575
39,97.55859375,93.16109422492401
40,96.58203125,94.68085106382979
41,97.75390625,92.24924012158054
42,97.65625,93.46504559270517
43,96.97265625,93.46504559270517
44,96.875,93.61702127659575
45,97.75390625,94.07294832826749
46,97.55859375,93.00911854103343
47,98.4375,94.07294832826749
48,98.2421875,93.3130699088146
49,97.0703125,93.46504559270517
50,97.8515625,93.16109422492401
51,98.14453125,93.9209726443769
52,98.53515625,93.16109422492401
53,98.14453125,93.61702127659575
54,97.0703125,93.3130699088146
55,97.94921875,93.61702127659575
56,97.65625,93.46504559270517
57,97.65625,93.76899696048632
58,97.8515625,93.76899696048632
59,97.0703125,94.83282674772036
60,98.4375,94.83282674772036
61,97.55859375,93.61702127659575
62,97.8515625,94.37689969604864
63,97.4609375,94.68085106382979
64,98.73046875,94.52887537993921
65,97.16796875,93.3130699088146
66,98.046875,94.37689969604864
67,98.6328125,94.68085106382979
68,98.4375,94.37689969604864
69,97.0703125,94.68085106382979
70,98.33984375,94.22492401215806
71,98.046875,93.61702127659575
72,97.4609375,93.3130699088146
73,97.75390625,94.37689969604864
74,98.53515625,94.98480243161094
75,98.33984375,94.68085106382979
76,97.75390625,93.61702127659575
77,97.8515625,93.9209726443769
78,98.046875,94.22492401215806
79,98.33984375,93.61702127659575
80,98.14453125,94.37689969604864
81,98.4375,93.46504559270517
82,97.75390625,93.46504559270517
83,98.73046875,94.83282674772036
84,99.0234375,94.37689969604864
85,98.2421875,93.61702127659575
86,98.4375,94.68085106382979
87,97.94921875,93.00911854103343
88,98.53515625,94.37689969604864
89,97.94921875,93.9209726443769
90,98.14453125,93.9209726443769
91,98.14453125,95.44072948328267
92,98.828125,94.52887537993921
93,98.53515625,94.83282674772036
94,98.92578125,94.98480243161094
95,98.046875,95.13677811550151
96,98.2421875,95.2887537993921
97,98.14453125,94.37689969604864
98,98.33984375,94.68085106382979
99,98.73046875,95.13677811550151
