,Training,Validation
0,35.166666666666664,72.94832826747721
1,80.0,72.94832826747721
2,80.0,72.94832826747721
3,80.0,72.94832826747721
4,80.0,72.94832826747721
5,80.0,72.94832826747721
6,80.0,72.94832826747721
7,80.0,72.94832826747721
8,80.0,72.94832826747721
9,80.0,72.94832826747721
10,80.0,72.94832826747721
11,80.0,72.94832826747721
12,80.0,72.94832826747721
13,80.0,72.94832826747721
14,80.0,72.94832826747721
15,80.0,72.94832826747721
16,80.0,72.94832826747721
17,80.0,72.94832826747721
18,80.0,72.94832826747721
19,80.0,72.94832826747721
20,80.0,72.94832826747721
21,80.0,72.94832826747721
22,80.0,72.94832826747721
23,80.0,72.94832826747721
24,80.0,72.94832826747721
25,80.16666666666667,72.94832826747721
26,80.0,72.94832826747721
27,80.0,72.94832826747721
28,80.0,72.94832826747721
29,80.16666666666667,72.94832826747721
30,80.16666666666667,72.94832826747721
31,80.66666666666667,73.10030395136778
32,80.83333333333333,73.40425531914893
33,82.0,74.01215805471124
34,82.16666666666667,74.77203647416414
35,84.66666666666667,75.07598784194529
36,85.5,77.6595744680851
37,86.16666666666667,77.96352583586626
38,89.33333333333333,79.17933130699089
39,90.66666666666667,78.72340425531915
40,90.5,79.93920972644378
41,91.5,79.93920972644378
42,92.33333333333333,80.69908814589665
43,93.0,80.09118541033435
44,92.83333333333333,79.33130699088146
45,93.66666666666667,79.63525835866263
46,95.33333333333333,80.09118541033435
47,95.16666666666667,80.09118541033435
48,94.66666666666667,80.69908814589665
49,96.5,81.0030395136778
