,Training,Validation
0,81.15234375,72.94832826747721
1,81.15234375,72.94832826747721
2,84.66796875,83.89057750759878
3,90.52734375,85.1063829787234
4,91.40625,85.1063829787234
5,92.578125,90.5775075987842
6,95.80078125,91.64133738601824
7,96.38671875,92.5531914893617
8,96.484375,92.40121580547113
9,96.97265625,92.70516717325228
10,97.4609375,93.46504559270517
11,97.75390625,94.07294832826749
12,97.75390625,94.37689969604864
13,97.16796875,93.61702127659575
14,97.75390625,93.9209726443769
15,98.046875,94.07294832826749
16,97.4609375,95.13677811550151
17,97.55859375,94.37689969604864
18,97.4609375,94.07294832826749
19,97.4609375,94.52887537993921
20,97.8515625,94.22492401215806
21,98.2421875,94.52887537993921
22,97.8515625,94.22492401215806
23,98.2421875,94.37689969604864
24,98.33984375,94.22492401215806
25,98.2421875,94.52887537993921
26,98.33984375,94.52887537993921
27,97.94921875,94.68085106382979
28,97.8515625,94.83282674772036
29,98.92578125,94.83282674772036
30,98.4375,95.2887537993921
31,98.6328125,94.83282674772036
32,98.14453125,94.83282674772036
33,97.94921875,94.37689969604864
34,98.6328125,94.83282674772036
35,98.2421875,93.61702127659575
36,98.046875,95.2887537993921
37,98.53515625,95.13677811550151
38,98.53515625,95.13677811550151
39,98.92578125,94.22492401215806
40,99.12109375,94.68085106382979
41,97.94921875,94.98480243161094
42,98.4375,93.46504559270517
43,97.94921875,94.83282674772036
44,98.6328125,94.52887537993921
45,99.31640625,94.37689969604864
46,98.828125,95.2887537993921
47,98.73046875,94.68085106382979
48,98.4375,94.68085106382979
49,98.2421875,95.74468085106383
50,98.73046875,96.20060790273556
51,98.14453125,94.68085106382979
52,99.0234375,95.59270516717325
53,98.73046875,95.2887537993921
54,99.21875,94.68085106382979
55,99.4140625,95.8966565349544
56,99.21875,96.20060790273556
57,98.92578125,95.2887537993921
58,99.21875,96.04863221884499
59,99.21875,94.98480243161094
60,98.4375,93.76899696048632
61,99.12109375,95.8966565349544
62,99.12109375,95.44072948328267
63,99.21875,93.61702127659575
64,99.0234375,96.20060790273556
65,99.4140625,95.2887537993921
66,99.31640625,94.07294832826749
67,99.12109375,94.83282674772036
68,99.12109375,95.44072948328267
69,98.73046875,96.04863221884499
70,98.53515625,95.13677811550151
71,98.828125,94.07294832826749
72,99.21875,96.20060790273556
73,99.21875,95.74468085106383
74,99.0234375,94.83282674772036
75,99.4140625,95.13677811550151
76,99.0234375,94.68085106382979
77,98.92578125,96.50455927051672
78,99.21875,93.3130699088146
79,99.51171875,95.8966565349544
80,99.21875,95.59270516717325
81,98.73046875,94.98480243161094
82,99.21875,95.13677811550151
83,99.31640625,95.2887537993921
84,99.31640625,95.2887537993921
85,98.6328125,96.20060790273556
86,99.70703125,94.22492401215806
87,99.12109375,94.37689969604864
88,99.21875,94.98480243161094
89,98.73046875,96.20060790273556
90,99.21875,96.50455927051672
91,99.51171875,95.44072948328267
92,99.609375,95.59270516717325
93,99.21875,94.83282674772036
94,99.51171875,94.52887537993921
95,99.21875,94.98480243161094
96,99.70703125,95.8966565349544
97,99.12109375,96.04863221884499
98,99.31640625,95.44072948328267
99,99.609375,95.74468085106383
