,Training,Validation
0,66.33333333333333,72.94832826747721
1,80.0,72.94832826747721
2,80.0,72.94832826747721
3,80.0,72.94832826747721
4,80.5,72.94832826747721
5,81.83333333333333,74.62006079027356
6,84.66666666666667,77.05167173252279
7,87.33333333333333,79.17933130699089
8,90.83333333333333,78.87537993920972
9,93.5,79.0273556231003
10,94.5,79.48328267477204
11,95.66666666666667,79.63525835866263
12,97.0,79.33130699088146
13,96.0,79.7872340425532
14,98.5,79.93920972644378
15,97.5,80.3951367781155
16,98.0,79.7872340425532
17,98.5,79.93920972644378
18,98.33333333333333,79.93920972644378
19,99.0,80.24316109422493
20,98.5,79.7872340425532
21,98.66666666666667,79.93920972644378
22,99.33333333333333,80.24316109422493
23,99.16666666666667,80.09118541033435
24,98.66666666666667,79.48328267477204
25,98.66666666666667,79.48328267477204
26,99.16666666666667,80.24316109422493
27,98.83333333333333,79.7872340425532
28,99.5,78.87537993920972
29,98.66666666666667,79.48328267477204
30,99.33333333333333,79.0273556231003
31,98.66666666666667,80.24316109422493
32,99.33333333333333,79.63525835866263
33,98.66666666666667,79.0273556231003
34,98.5,78.87537993920972
35,99.5,79.48328267477204
36,99.5,78.419452887538
37,99.16666666666667,79.7872340425532
38,98.83333333333333,80.24316109422493
39,98.33333333333333,79.48328267477204
40,99.33333333333333,79.0273556231003
41,99.16666666666667,79.63525835866263
42,98.33333333333333,79.48328267477204
43,99.5,78.11550151975683
44,98.66666666666667,79.0273556231003
45,98.83333333333333,79.17933130699089
46,99.5,79.0273556231003
47,99.66666666666667,79.7872340425532
48,99.16666666666667,78.72340425531915
49,99.33333333333333,79.7872340425532
50,98.66666666666667,79.7872340425532
51,99.5,78.57142857142857
52,99.66666666666667,79.63525835866263
53,99.83333333333333,79.93920972644378
54,99.0,80.09118541033435
55,99.66666666666667,79.7872340425532
56,99.66666666666667,79.17933130699089
57,99.33333333333333,79.17933130699089
58,98.83333333333333,79.0273556231003
59,99.33333333333333,79.33130699088146
60,99.16666666666667,79.33130699088146
61,99.83333333333333,80.09118541033435
62,99.5,79.93920972644378
63,99.66666666666667,79.7872340425532
64,99.66666666666667,79.93920972644378
65,99.33333333333333,79.48328267477204
66,100.0,79.17933130699089
67,99.66666666666667,79.93920972644378
68,99.16666666666667,79.93920972644378
69,99.5,80.24316109422493
70,98.83333333333333,79.48328267477204
71,99.5,79.63525835866263
72,99.33333333333333,80.3951367781155
73,99.83333333333333,78.87537993920972
74,99.0,79.63525835866263
75,99.5,80.69908814589665
76,98.83333333333333,80.09118541033435
77,98.5,79.17933130699089
78,99.33333333333333,81.15501519756839
79,99.5,80.24316109422493
80,99.5,79.48328267477204
81,99.0,78.72340425531915
82,98.66666666666667,80.85106382978722
83,99.16666666666667,80.54711246200608
84,99.33333333333333,78.87537993920972
85,98.83333333333333,78.87537993920972
86,99.83333333333333,79.33130699088146
87,99.33333333333333,80.09118541033435
88,99.33333333333333,80.85106382978722
89,99.33333333333333,80.24316109422493
90,99.0,78.72340425531915
91,99.83333333333333,79.93920972644378
92,99.33333333333333,81.30699088145896
93,99.83333333333333,80.3951367781155
94,100.0,80.09118541033435
95,99.66666666666667,80.09118541033435
96,99.33333333333333,80.24316109422493
97,99.66666666666667,80.3951367781155
98,99.5,80.09118541033435
99,99.83333333333333,80.09118541033435
