Epochs,Training Loss,Validation Loss
1,2.468521335941462,2.3749365804160325
2,2.1003405056871696,2.015220700152207
3,1.849308121422879,1.671740233384069
4,1.5433601391001956,1.5312024353120244
5,1.2800115916829675,1.250126839167935
6,1.118090270231109,0.9375951293759512
7,0.9755125697312178,1.1253170979198377
8,0.8606100123161632,0.7970573313039067
9,0.7751937984496124,1.171486555048199
10,0.6906469608056219,0.9842719431760527
11,0.5942910961385206,0.6093353627600203
12,0.541621386655075,0.5154743784880771
13,0.48503948417010795,0.4063926940639269
14,0.44272984133883936,0.35971588026382545
15,0.4132434977903354,0.9690512430238457
16,0.3697746866623198,0.4687975646879756
17,0.3394189668912555,0.4840182648401826
18,0.30507860610012316,0.5621511922881786
19,0.29406650728102585,0.343480466768138
20,0.2629863073244947,0.1872146118721461
21,0.24429471853944795,0.5469304921359716
22,0.22661740201405492,0.1719939117199391
23,0.21502571904658407,0.1719939117199391
24,0.19858001883648482,0.14053779807204464
25,0.1877852640730276,0.21867072552004058
26,0.17851191769905092,0.32775240994419075
27,0.16771716293559372,0.09386098427194317
28,0.15503875968992248,0.1719939117199391
29,0.15003984641020068,0.14053779807204464
30,0.13960733173947693,0.0624048706240487
31,0.13511555458958197,0.20345002536783358
32,0.13011664130986017,0.1872146118721461
33,0.11751068608273564,0.09386098427194317
34,0.11251177280301383,0.030948756976154235
35,0.11642396580453525,0.1872146118721461
36,0.10120988190972977,0.09386098427194317
37,0.10403535463305079,0.21867072552004058
38,0.10120988190972977,0.0624048706240487
39,0.0978772730565819,0.0624048706240487
40,0.09497935231471419,0.25012683916793504
41,0.08635803810765776,0.030948756976154235
42,0.08164891690212273,0.1095890410958904
43,0.08019995653118887,0.14053779807204464
44,0.08280808519886981,0.0624048706240487
45,0.0699123378975585,0.1248097412480974
46,0.06788379337825111,0.0471841704718417
47,0.06484097659929002,0.04667681380010147
48,0.06223284793160907,0.04667681380010147
49,0.06005940737520829,0.04667681380010147
50,0.06317467217271608,0.21867072552004058
