Epochs,Training Loss,Validation Loss
0,0.0,0.0
1,1.472684396698546,0.5621274644658414
2,0.9794314162190488,2.656121045392022
3,0.7538975501113586,0.5621274644658414
4,0.6124721603563474,0.24988537368179733
5,0.511921917987685,3.3434204493351674
6,0.4423555613782261,0.9060064190738194
7,0.38209092100091707,0.12471343420449335
8,0.32752521944189705,7.281063732232921
9,0.3142932005764444,0.09353507565337002
10,0.2783309314817241,0.437414030261348
11,0.25363552993580507,1.3434204493351674
12,0.25455260055024237,0.2810637322329207
13,0.2012969998689899,0.062356717102246675
14,0.18302109262413205,3.18707015130674
15,0.17647058823529413,0.12471343420449335
16,0.15668806498100354,0.09353507565337002
17,0.1335647844884056,0.4062356717102247
18,0.13441635005895453,0.09353507565337002
19,0.11299620070745447,0.6872994039431454
20,0.11017948382025416,4.1247134342044935
21,0.130355037337875,0.12471343420449335
22,0.10041923228088563,0.3745988078862907
23,0.09458928337481987,0.031178358551123338
24,0.08679418315210272,0.437414030261348
25,0.08659766802043757,5.375057313159101
26,0.09183807153150793,5.8436497019715725
27,0.09465478841870824,0.312242090784044
28,0.07336564915498493,3.937184777624943
29,0.072514083584436,1.09353507565337
30,0.0766409013494039,0.0
31,0.05803746888510415,0.437414030261348
32,0.0531245905934757,0.031178358551123338
33,0.05790645879732739,3.09353507565337
34,0.053386610769029216,4.874828060522696
35,0.058758024367876326,3.530949105914718
36,0.05928206471898336,1.218707015130674
37,0.051028429189047556,0.0
38,0.04310231887855365,4.09353507565337
39,0.045657015590200446,0.781292984869326
40,0.0378619153674833,4.874828060522696
41,0.049783833355168346,0.24988537368179733
42,0.03596226909472029,3.1875286565795506
43,0.040351107035241716,1.0311783585511234
44,0.0413336826935674,0.6249426868408987
45,0.03209747150530591,2.874828060522696
46,0.03386610769029215,3.0
47,0.037927420411371676,5.1247134342044935
48,0.0378619153674833,0.49977074736359467
49,0.029149744530328835,0.656121045392022
50,0.031180400890868598,1.5937643282897753
