,Training,Validation
0,0.5029733958654106,0.5981940868354979
1,0.42421292467042804,0.5018144661471957
2,0.37091612024232745,0.4268988825026013
3,0.28950039064511657,0.32730928985845475
4,0.21671188017353415,0.2692563434441884
5,0.1663445618469268,0.23159632086753845
6,0.1392954031471163,0.2085866229165168
7,0.11721003474667668,0.20011719369462558
8,0.10748765396419913,0.19409649730438278
9,0.10298891551792622,0.18519483559897967
10,0.0865088909631595,0.17771641555286588
11,0.08662630221806467,0.1778218343499161
12,0.0772074128035456,0.16409024738130115
13,0.07859147025737911,0.1704115051598776
14,0.07417200884083286,0.15420036922608102
15,0.06851968268165365,0.15983068943023682
16,0.06848360144067556,0.14985842297651938
17,0.0720672202296555,0.14569522333996637
18,0.07564770473982207,0.17375203984833898
19,0.05657967002480291,0.17408313274028756
20,0.06798518163850531,0.15174782222935132
21,0.06409959553275257,0.16068439895198458
22,0.05727782874600962,0.14890547504737264
23,0.07513536547776312,0.14565172064162435
24,0.051226472336566076,0.15159205502520004
25,0.059938119899015874,0.17749249207831563
26,0.05332795644062571,0.13743819500364007
27,0.05681066575925797,0.149452900602704
28,0.05713523208396509,0.17574882675849257
29,0.06202440455672331,0.15306339182314418
30,0.05718320142477751,0.16630320348555133
31,0.06272987008560449,0.18843142340137137
32,0.04055723670171574,0.1295613231403487
33,0.05752161721466109,0.16391470531622568
34,0.05314298428129405,0.11721661549416326
35,0.04779082743334584,0.14424769057049638
36,0.04667453885485884,0.1674807202292695
37,0.03582972519507166,0.12424086832574435
38,0.04672242034575902,0.12445551565005666
39,0.03431081134476699,0.14345748837859856
40,0.040568266369518824,0.17103041837080604
41,0.048197612471994944,0.12323487514541262
42,0.047043489379575476,0.10343820779096513
43,0.041591644956497476,0.18806952743657998
44,0.03648751912260195,0.14688437210307234
45,0.02948475732409861,0.14694532122285592
46,0.04678530269302428,0.17028450522394406
47,0.036906285225995816,0.17960437300748058
48,0.030538546532625332,0.16371497598343662
49,0.027951947588007897,0.10268612467639503
50,0.0444170497066807,0.13671729001881822
51,0.033381468754669186,0.08892891584851202
52,0.04251124484289903,0.1633686432836666
53,0.03917167111649178,0.12618077875647163
54,0.0330493233341258,0.18043073162525183
55,0.04241807499784045,0.11686726464402108
56,0.028733484534313902,0.13243343872905133
57,0.032518224834348075,0.1254792624995822
58,0.03205869310477283,0.13043738160991952
59,0.035792621070868336,0.1144577920813823
60,0.031413087039254606,0.13847220030480198
61,0.03631233920168597,0.11787412608308452
62,0.030524199610226788,0.14747163961597143
63,0.03564680049021263,0.12953568542642252
64,0.041497867336147465,0.1447530811253403
65,0.035369324672501534,0.12091720935755543
66,0.02448997560713906,0.11680299105743568
67,0.03395228354202118,0.1530852053491842
68,0.025368238319060765,0.13109144972016415
69,0.024902189274143893,0.13591188921903571
70,0.04277583469229285,0.14384440882574945
71,0.01986232808121713,0.13771236004928747
72,0.03207249655679334,0.11275549933669113
73,0.03099969659524504,0.1366460943993713
74,0.029753614464425482,0.10661699946614958
75,0.028212157070811372,0.1389743396568866
76,0.043279414199787425,0.11833876242772454
77,0.044931255531992065,0.19985608099072816
78,0.0412153186116484,0.1672072003836677
79,0.024391687926254235,0.12160350406719815
80,0.02158325460550259,0.11534884589768592
81,0.04426317356410436,0.16615063917734438
82,0.03720544159295969,0.08326483526754946
83,0.02531956840539351,0.1430370578808444
84,0.026268567584338598,0.15367596027707414
85,0.043439934983325657,0.18448494822673855
86,0.01792227909027133,0.09446525935172326
87,0.019846613991830964,0.12307344581044856
88,0.03357989722280763,0.11938373736726741
89,0.020848707692493917,0.10620241873853263
90,0.0304784232066595,0.11501729591483516
91,0.021200443181442097,0.11166655464053508
92,0.021896184272918617,0.10815637645178608
93,0.018827372663508868,0.10566230393236592
94,0.018851707034627907,0.10714240176492326
95,0.025297838845290244,0.09450010638240547
96,0.03935757358703995,0.09064520471951082
97,0.02741049557880615,0.08717350380140401
98,0.029565523480414413,0.10561325993122798
99,0.020293705661970307,0.13523475732654333
