,Training,Validation
0,98.33333333333333,76.44376899696049
1,98.83333333333333,75.07598784194529
2,99.16666666666667,80.24316109422493
3,97.66666666666667,78.87537993920972
4,97.66666666666667,77.96352583586626
5,99.16666666666667,78.57142857142857
6,99.16666666666667,78.72340425531915
7,98.5,79.7872340425532
8,99.66666666666667,79.33130699088146
9,99.33333333333333,79.17933130699089
10,99.83333333333333,77.6595744680851
11,99.0,79.48328267477204
12,98.83333333333333,80.3951367781155
13,98.83333333333333,79.63525835866263
14,99.66666666666667,80.54711246200608
15,98.83333333333333,80.54711246200608
16,99.33333333333333,79.0273556231003
17,99.5,79.17933130699089
18,99.66666666666667,80.24316109422493
19,99.5,79.33130699088146
20,99.33333333333333,80.09118541033435
21,99.83333333333333,80.3951367781155
22,99.66666666666667,80.69908814589665
23,99.33333333333333,80.3951367781155
24,99.83333333333333,79.7872340425532
25,99.16666666666667,80.3951367781155
26,99.33333333333333,79.48328267477204
27,99.66666666666667,79.48328267477204
28,99.5,79.48328267477204
29,99.66666666666667,78.72340425531915
30,99.33333333333333,80.24316109422493
31,100.0,80.3951367781155
32,99.83333333333333,81.15501519756839
33,99.83333333333333,80.3951367781155
34,99.5,81.0030395136778
35,99.33333333333333,80.24316109422493
36,99.83333333333333,79.7872340425532
37,99.66666666666667,80.85106382978722
38,99.16666666666667,81.30699088145896
39,98.66666666666667,78.26747720364742
40,99.5,80.24316109422493
41,99.16666666666667,80.3951367781155
42,98.66666666666667,79.48328267477204
43,98.83333333333333,80.54711246200608
44,99.33333333333333,82.67477203647417
45,99.66666666666667,82.82674772036475
46,99.66666666666667,79.7872340425532
47,100.0,80.3951367781155
48,99.33333333333333,81.15501519756839
49,99.33333333333333,80.3951367781155
50,99.5,79.33130699088146
51,99.33333333333333,79.7872340425532
52,99.16666666666667,80.09118541033435
53,99.66666666666667,80.24316109422493
54,99.66666666666667,82.37082066869301
55,99.83333333333333,82.97872340425532
56,99.5,82.21884498480243
57,99.83333333333333,82.97872340425532
58,100.0,82.97872340425532
59,99.5,82.67477203647417
60,99.83333333333333,81.91489361702128
61,100.0,82.52279635258358
62,100.0,82.67477203647417
63,100.0,81.91489361702128
64,100.0,82.06686930091185
65,99.83333333333333,81.30699088145896
66,100.0,82.67477203647417
67,100.0,82.21884498480243
68,100.0,80.3951367781155
69,100.0,80.54711246200608
70,100.0,81.7629179331307
71,99.83333333333333,81.0030395136778
72,100.0,82.52279635258358
73,100.0,81.91489361702128
74,99.33333333333333,82.21884498480243
75,99.5,80.09118541033435
76,99.83333333333333,80.69908814589665
77,99.66666666666667,83.58662613981764
78,99.0,81.7629179331307
79,99.5,84.19452887537993
80,99.5,84.65045592705167
81,99.83333333333333,82.37082066869301
82,99.0,82.67477203647417
83,99.5,81.91489361702128
84,99.66666666666667,83.58662613981764
85,99.66666666666667,81.61094224924013
86,99.5,83.89057750759878
87,100.0,81.91489361702128
88,99.83333333333333,81.45896656534954
89,100.0,81.91489361702128
90,99.66666666666667,81.7629179331307
91,100.0,82.97872340425532
92,99.83333333333333,82.37082066869301
93,100.0,82.21884498480243
94,99.83333333333333,83.1306990881459
95,100.0,82.06686930091185
96,99.83333333333333,82.37082066869301
97,99.5,82.21884498480243
98,100.0,81.91489361702128
99,99.83333333333333,81.91489361702128
